episode,reward,length
1196,-0.191944,26
1197,-0.538415,22
1198,-1.761722,11
1199,-3.66173,20
1200,1.752485,23
1201,-1.333345,14
1202,0.105161,19
1203,1.721839,14
1204,-0.843931,15
1205,0.969374,17
1206,0.67713,16
1207,-0.205857,18
1208,-5.809325,23
1209,-3.227322,19
1210,0.992367,25
1211,3.289534,21
1212,-1.062273,27
1213,-2.329907,20
1214,3.704836,27
1215,-6.399453,21
1216,-0.289122,23
1217,-5.859635,17
1218,-3.302178,18
1219,-7.881069,30
1220,0.790498,30
1221,1.954418,25
1222,1.627252,15
1223,-1.697213,15
1224,-0.627157,30
1225,-0.09043,30
1226,2.664642,27
1227,-4.421753,25
1228,1.623058,24
1229,0.428984,16
1230,0.730943,24
1231,1.505038,25
1232,0.036794,30
1233,-4.558405,15
1234,-1.717544,30
1235,-1.312621,26
1236,0.219352,25
1237,-1.645909,22
1238,-2.105791,30
1239,2.849571,22
1240,-1.455303,30
1241,-0.468108,30
1242,-3.367866,30
1243,1.012864,24
1244,-0.119518,29
1245,1.872941,30
1246,-1.645652,26
1247,-2.205089,19
1248,-2.746911,15
1249,-3.206324,26
1250,1.037179,30
1251,-1.208469,30
1252,-3.876115,25
1253,-1.085704,14
1254,-2.568207,16
1255,-3.864254,30
1256,-4.564462,30
1257,-2.460798,17
1258,-11.286882,30
1259,2.643409,11
1260,3.304351,29
1261,-2.161373,21
1262,-1.19108,23
1263,1.427018,30
1264,-0.678149,30
1265,1.884028,30
1266,1.052749,20
1267,-1.533682,13
1268,-1.739412,19
1269,-1.267103,30
1270,-0.842319,26
1271,1.870934,30
1272,-4.784883,22
1273,-4.122547,26
1274,-1.410276,16
1275,1.283876,30
1276,2.300411,30
1277,2.548851,30
1278,-5.206598,27
1279,0.784638,30
1280,-6.294749,30
1281,-7.162827,30
1282,0.36698,8
1283,2.462489,16
1284,-0.049066,25
1285,2.519607,18
1286,-0.193437,26
1287,-3.286046,12
1288,-0.481529,30
1289,1.615066,30
1290,1.624863,30
1291,-2.207134,16
1292,-6.259833,28
1293,0.813973,21
1294,-3.434235,28
1295,-1.050642,25
1296,-0.670951,21
1297,-1.865036,25
1298,-1.421917,30
1299,0.109862,26
1300,-3.36892,30
1301,-3.394708,25
1302,0.469748,21
1303,1.728309,26
1304,-1.037605,20
1305,3.049567,25
1306,-4.496699,21
1307,-6.279308,27
1308,-0.391481,27
1309,-0.580515,30
1310,-1.833061,30
1311,3.156418,30
1312,0.790095,29
1313,2.03448,30
1314,-0.369976,30
1315,-2.696435,30
1316,1.840879,17
1317,1.176178,17
1318,-1.536682,22
1319,-7.469248,28
1320,1.746911,14
1321,-1.091393,30
1322,-2.166651,25
1323,-0.272708,30
1324,-0.448464,27
1325,0.181135,28
1326,-0.869631,30
1327,-7.710309,19
1328,-2.359559,30
1329,0.8815,22
1330,1.566879,22
1331,2.010076,30
1332,-0.402139,30
1333,1.293537,30
1334,2.900983,21
1335,0.109735,16
1336,0.510368,30
1337,1.137309,30
1338,0.382323,18
1339,-8.948689,19
1340,-1.537115,30
1341,-5.683885,30
1342,-0.683894,12
1343,-4.072832,30
1344,-0.295857,30
1345,-1.679181,26
1346,-0.410021,30
1347,-7.392676,23
1348,-1.458717,15
1349,-0.889546,25
1350,-7.446912,29
1351,0.741725,30
1352,-1.630404,16
1353,1.025022,25
1354,-3.925049,30
1355,1.968647,30
1356,0.702686,29
1357,-1.810043,26
1358,2.199407,30
1359,4.071867,17
1360,0.227923,20
1361,2.444346,23
1362,-0.072536,21
1363,-1.500363,18
1364,0.89017,29
1365,1.936626,18
1366,1.332029,20
1367,-3.060371,30
1368,-4.618415,30
1369,-0.23568,30
1370,3.211465,21
1371,2.90665,16
1372,-5.925243,25
1373,1.079909,30
1374,-2.800772,29
1375,2.421347,18
1376,1.851001,28
1377,1.745867,30
1378,-2.821256,27
1379,-0.420367,30
1380,-2.063243,30
1381,-0.321524,22
1382,-1.690681,30
1383,-1.097451,26
1384,-3.109559,12
1385,0.248266,24
1386,0.092158,13
1387,2.760207,27
1388,0.266469,9
1389,1.31591,15
1390,0.934473,21
1391,-1.757963,30
1392,3.807389,23
1393,-2.154077,13
1394,0.74913,29
1395,0.211617,30
1396,2.468778,29
1397,-0.643357,12
1398,0.698924,30
1399,0.521691,20
1400,-3.429692,26
1401,-5.21846,28
1402,-3.936214,21
1403,-0.99104,19
1404,-1.298716,23
1405,-2.323474,29
1406,-9.1e-05,17
1407,-0.151055,17
1408,2.524228,30
1409,1.688366,28
1410,-11.187493,28
1411,1.771534,26
